"Datum","Senaste","Öppen","Högst","Lägst","Vol.","+/- %"
"2011-07-24","13,5","13,7","14,7","13,3","132,60K","-1,10%"
"2011-07-17","13,7","13,7","14,7","12,5","263,67K","0,00%"
"2011-07-10","13,7","14,4","15,7","13,5","190,88K","-4,59%"
"2011-07-03","14,4","15,4","16,5","11,0","366,20K","-6,62%"
"2011-06-26","15,4","17,5","18,0","14,0","179,65K","-12,05%"
"2011-06-19","17,5","16,9","18,9","16,9","30,18K","3,67%"
"2011-06-12","16,9","14,6","25,0","10,3","481,85K","15,29%"
"2011-06-05","14,6","18,9","31,9","13,0","515,02K","-22,45%"
"2011-05-29","18,9","8,3","18,9","8,1","272,94K","127,59%"
"2011-05-22","8,3","6,1","9,3","6,0","207,81K","35,62%"
"2011-05-15","6,1","7,2","8,5","5,6","223,19K","-15,00%"
"2011-05-08","7,2","3,6","8,9","3,6","292,56K","97,80%"
"2011-05-01","3,6","3,5","3,9","2,5","154,50K","4,00%"
"2011-04-24","3,5","1,7","4,2","1,5","315,37K","105,88%"
"2011-04-17","1,7","1,0","2,0","1,0","230,94K","61,90%"
"2011-04-10","1,0","0,7","1,1","0,7","222,10K","43,84%"
"2011-04-03","0,7","0,8","0,8","0,6","94,68K","-6,65%"
"2011-03-27","0,8","0,9","0,9","0,8","37,89K","-8,56%"
"2011-03-20","0,9","0,8","0,9","0,7","65,51K","11,79%"
"2011-03-13","0,8","0,9","0,9","0,7","47,85K","-16,67%"
"2011-03-06","0,9","0,9","0,9","0,8","54,39K","0,00%"
"2011-02-27","0,9","1,0","1,0","0,8","71,26K","0,00%"
"2011-02-20","1,0","0,9","1,0","0,8","53,11K","0,00%"
"2011-02-13","0,9","1,1","1,1","0,8","70,90K","-12,13%"
"2011-02-06","1,1","0,9","1,1","0,8","111,64K","17,39%"
"2011-01-30","0,9","0,4","0,9","0,4","177,62K","109,57%"
"2011-01-23","0,4","0,4","0,4","0,4","64,42K","0,00%"
"2011-01-16","0,4","0,4","0,4","0,3","82,88K","15,10%"
"2011-01-09","0,4","0,3","0,4","0,3","97,03K","19,54%"
"2011-01-02","0,3","0,3","0,3","0,3","56,70K","0,00%"
"2010-12-26","0,3","0,2","0,3","0,2","62,38K","20,05%"
"2010-12-19","0,2","0,2","0,3","0,2","40,10K","0,00%"
"2010-12-12","0,2","0,2","0,3","0,2","37,50K","0,00%"
"2010-12-05","0,2","0,2","0,2","0,2","66,89K","0,00%"
"2010-11-28","0,2","0,3","0,3","0,2","136,93K","-27,56%"
"2010-11-21","0,3","0,3","0,3","0,3","73,38K","0,00%"
"2010-11-14","0,3","0,3","0,3","0,2","146,41K","0,00%"
"2010-11-07","0,3","0,4","0,5","0,1","341,46K","-29,23%"
"2010-10-31","0,4","0,2","0,5","0,1","228,00K","96,08%"
"2010-10-24","0,2","0,1","0,2","0,1","205,85K","88,53%"
"2010-10-17","0,1","0,1","0,1","0,1","165,87K","0,00%"
"2010-10-10","0,1","0,1","0,1","0,1","206,14K","0,00%"
"2010-10-03","0,1","0,1","0,1","0,0","472,96K","0,00%"
"2010-09-26","0,1","0,1","0,1","0,1","76,07K","0,00%"
"2010-09-19","0,1","0,1","0,1","0,1","62,80K","0,00%"
"2010-09-12","0,1","0,1","0,2","0,1","43,62K","0,00%"
"2010-09-05","0,1","0,1","0,1","0,1","29,59K","0,00%"
"2010-08-29","0,1","0,1","0,1","0,0","71,76K","0,00%"
"2010-08-22","0,1","0,1","0,1","0,1","52,94K","0,00%"
"2010-08-15","0,1","0,1","0,1","0,1","46,72K","0,00%"
"2010-08-08","0,1","0,1","0,1","0,1","41,26K","0,00%"
"2010-08-01","0,1","0,1","0,1","0,1","28,56K","0,00%"
"2010-07-25","0,1","0,1","0,1","0,1","25,29K","0,00%"
"2010-07-18","0,1","0,0","0,1","0,1","6,55K","0,00%"
